key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:45:01
Frame Index Range:,0 - 675
Relative Time Range,00:00.000 - 00:36.377
Absolute Time Range,360594.864773 - 360631.241866
