id,block,x0,y0,x1,y1,x2,y2,x3,y3,level
0,15,24,9,27,9,27,10,24,10,0
1,12,22,9,23,9,23,10,22,10,0
2,13,24,11,25,11,25,12,24,12,0
3,14,24,7,25,7,25,8,24,8,0
4,2,20,9,21,9,21,10,20,10,0
5,1,20,9,21,9,21,10,20,10,1
6,0,20,9,21,9,21,10,20,10,2
7,8,28,9,29,9,29,10,28,10,0
8,7,28,9,29,9,29,10,28,10,1
9,6,28,9,29,9,29,10,28,10,2
