key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,10:40:13
Frame Index Range:,0 - 1543
Relative Time Range,00:00.000 - 01:04.755
Absolute Time Range,-916583.832097 - -916519.076212
