world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
194679.088303,62,194679.072216,-0.688029408454895,-0.10734836012125015,-0.688029408454895,-0.10734836012125015,False,0.9433619976043701
194679.088303,62,194679.07794,-1.60556161403656,0.24523843824863434,-1.60556161403656,0.24523843824863434,False,0.32675079067931745
194679.088303,62,194679.080292,-0.7284939289093018,-0.11180588603019714,-0.7284939289093018,-0.11180588603019714,False,1.0
194679.088303,62,194679.088298,-0.7754095792770386,-0.10540897399187088,-0.7754095792770386,-0.10540897399187088,False,1.0
194679.088303,62,194679.09237799997,-1.7646466493606567,0.24498213827610016,-1.7646466493606567,0.24498213827610016,False,0.37900219277387437
194679.088303,62,194679.096252,-0.8058969378471375,-0.10895387083292007,-0.8058969378471375,-0.10895387083292007,False,0.9532701969146729
194679.088303,62,194679.10428399997,-0.8548965454101562,-0.09767218679189682,-0.8548965454101562,-0.09767218679189682,False,1.0
194679.123542,63,194679.107995,-1.2362474203109741,0.19205835461616516,-1.2362474203109741,0.19205835461616516,False,0.4076278178050043
194679.123542,63,194679.11226899998,-0.6747406125068665,-0.09400123357772827,-0.6747406125068665,-0.09400123357772827,False,1.0
194679.123542,63,194679.120324,-0.7031609416007996,-0.09275947511196136,-0.7031609416007996,-0.09275947511196136,False,1.0
194679.123542,63,194679.12610599998,-1.3020015954971313,0.18755309283733368,-1.3020015954971313,0.18755309283733368,False,0.3887192295172378
194679.123542,63,194679.12839199998,-0.7303906083106995,-0.09649825096130371,-0.7303906083106995,-0.09649825096130371,False,1.0
194679.123542,63,194679.14031699998,-0.7537066340446472,-0.09747646003961563,-0.7537066340446472,-0.09747646003961563,False,1.0
194679.168878,64,194679.146277,-1.4319700002670288,0.2170957624912262,-1.4319700002670288,0.2170957624912262,False,0.4200124652052828
194679.168878,64,194679.14835799998,-0.7474845051765442,-0.09981326758861542,-0.7474845051765442,-0.09981326758861542,False,1.0
194679.168878,64,194679.162541,-0.6727678775787354,-0.060644879937171936,-0.6727678775787354,-0.060644879937171936,False,0.995
194679.168878,64,194679.1664855,-0.6923945546150208,-0.06120773404836655,-0.6923945546150208,-0.06120773404836655,False,0.995
194679.168878,64,194679.170525,-0.6945550441741943,-0.054389871656894684,-0.6945550441741943,-0.054389871656894684,False,0.995
194679.168878,64,194679.1755835,-0.6871086955070496,-0.06621593981981277,-0.6871086955070496,-0.06621593981981277,False,0.9399525225162506
194679.168878,64,194679.1795605,-0.6872979402542114,-0.05391377583146095,-0.6872979402542114,-0.05391377583146095,False,0.9399525225162506
194679.168878,64,194679.1817385,-0.6857392191886902,-0.06556668132543564,-0.6857392191886902,-0.06556668132543564,False,0.9313978850841522
194679.168878,64,194679.1857785,-0.6922039985656738,-0.06617181748151779,-0.6922039985656738,-0.06617181748151779,False,0.9313978850841522
194679.168878,64,194679.1901625,-0.6868025064468384,-0.07900241017341614,-0.6868025064468384,-0.07900241017341614,False,0.9330450892448425
194679.21689399998,65,194679.19414399998,-0.6806032061576843,-0.08682961016893387,-0.6806032061576843,-0.08682961016893387,False,0.9330450892448425
194679.21689399998,65,194679.19656949997,-0.7804198861122131,-0.06045398488640785,-0.7804198861122131,-0.06045398488640785,False,0.8
194679.21689399998,65,194679.20054599998,-0.784508466720581,-0.06127635017037392,-0.784508466720581,-0.06127635017037392,False,0.8
194679.21689399998,65,194679.2072825,-0.7894360423088074,-0.05779916048049927,-0.7894360423088074,-0.05779916048049927,False,0.8
194679.21689399998,65,194679.21131599997,-0.7952830791473389,-0.059066008776426315,-0.7952830791473389,-0.059066008776426315,False,0.8
194679.21689399998,65,194679.2179385,-0.7950432896614075,-0.06585375219583511,-0.7950432896614075,-0.06585375219583511,False,0.8
194679.21689399998,65,194679.2239265,-0.7973912954330444,-0.0661981999874115,-0.7973912954330444,-0.0661981999874115,False,0.8
194679.21689399998,65,194679.231157,-0.7088677287101746,-0.09217170625925064,-0.7088677287101746,-0.09217170625925064,False,0.995
194679.21689399998,65,194679.235115,-0.7135009765625,-0.0921962633728981,-0.7135009765625,-0.0921962633728981,False,0.995
194679.21689399998,65,194679.23914049997,-0.7154843211174011,-0.09154334664344788,-0.7154843211174011,-0.09154334664344788,False,0.995
194679.21689399998,65,194679.243004,-0.7156803607940674,-0.10267555713653564,-0.7156803607940674,-0.10267555713653564,False,0.9576012790203094
194679.273826,66,194679.24711,-0.7104098200798035,-0.10929105430841446,-0.7104098200798035,-0.10929105430841446,False,0.9576012790203094
194679.273826,66,194679.249464,-0.7003320455551147,-0.12880131602287292,-0.7003320455551147,-0.12880131602287292,False,0.9314305186271667
194679.273826,66,194679.2533495,-0.6811747550964355,-0.12927114963531494,-0.6811747550964355,-0.12927114963531494,False,0.9314305186271667
194679.273826,66,194679.256444,-0.6775728464126587,-0.14530691504478455,-0.6775728464126587,-0.14530691504478455,False,0.9049010574817657
194679.273826,66,194679.260375,-0.6772429347038269,-0.14566780626773834,-0.6772429347038269,-0.14566780626773834,False,0.9049010574817657
194679.273826,66,194679.264187,-0.6848210692405701,-0.1518138349056244,-0.6848210692405701,-0.1518138349056244,False,0.9522224068641663
194679.273826,66,194679.2682075,-0.6858167052268982,-0.15050433576107025,-0.6858167052268982,-0.15050433576107025,False,0.9522224068641663
194679.273826,66,194679.272215,-0.6957333087921143,-0.15250374376773834,-0.6957333087921143,-0.15250374376773834,False,0.9709738194942474
194679.273826,66,194679.2762605,-0.694875180721283,-0.15099959075450897,-0.694875180721283,-0.15099959075450897,False,0.9709738194942474
