timestamp,x,y,device,idx_table
1706090334109,nan,nan,Device.NO_DEVICE,1706090334109
1706090334116,nan,nan,Device.NO_DEVICE,1706090334109
1706090334127,nan,nan,2,1706090334109
1706090334142,nan,nan,Device.NO_DEVICE,1706090334109
1706090334160,nan,nan,Device.NO_DEVICE,1706090334109
1706090334162,nan,nan,Device.NO_DEVICE,1706090334109
1706090334163,nan,nan,Device.NO_DEVICE,1706090334109
1706090334175,nan,nan,Device.NO_DEVICE,1706090334109
1706090334178,nan,nan,Device.NO_DEVICE,1706090334109
1706090334184,nan,nan,Device.NO_DEVICE,1706090334109
1706090334193,nan,nan,Device.NO_DEVICE,1706090334109
1706090334196,nan,nan,Device.NO_DEVICE,1706090334109
1706090334205,nan,nan,Device.NO_DEVICE,1706090334109
1706090334208,nan,nan,Device.NO_DEVICE,1706090334109
1706090334216,nan,nan,Device.NO_DEVICE,1706090334109
1706090334223,nan,nan,Device.NO_DEVICE,1706090334109
1706090334227,nan,nan,Device.NO_DEVICE,1706090334109
1706090334240,nan,nan,Device.NO_DEVICE,1706090334109
1706090334246,nan,nan,Device.NO_DEVICE,1706090334109
1706090334258,nan,nan,Device.NO_DEVICE,1706090334109
1706090334260,nan,nan,Device.NO_DEVICE,1706090334109
1706090334273,nan,nan,Device.NO_DEVICE,1706090334109
1706090334291,nan,nan,Device.NO_DEVICE,1706090334109
1706090334304,nan,nan,Device.NO_DEVICE,1706090334109
1706090334305,nan,nan,2,1706090334109
1706090334323,nan,nan,Device.NO_DEVICE,1706090334109
1706090334325,0.6766652464866638,0.6437602639198303,Device.SCREEN,1706090334109
1706090334327,0.6766652464866638,0.6437602639198303,Device.SCREEN,1706090334109
1706090334338,nan,nan,Device.NO_DEVICE,1706090334109
1706090334339,0.6554341912269592,0.6779775619506836,Device.SCREEN,1706090334109
1706090334349,0.6554341912269592,0.6779775619506836,Device.SCREEN,1706090334109
1706090334356,nan,nan,Device.NO_DEVICE,1706090334109
1706090334360,0.6554341912269592,0.6779775619506836,Device.SCREEN,1706090334109
1706090334371,nan,nan,Device.NO_DEVICE,1706090334109
1706090334372,0.4684967994689941,0.742207944393158,Device.SCREEN,1706090334109
1706090334383,0.5146384239196777,0.7008220553398132,Device.SCREEN,1706090334109
1706090334386,nan,nan,Device.NO_DEVICE,1706090334109
1706090334394,0.5146384239196777,0.7008220553398132,Device.SCREEN,1706090334109
1706090334404,nan,nan,Device.NO_DEVICE,1706090334109
1706090334405,0.5211859345436096,0.6919633150100708,Device.SCREEN,1706090334109
1706090334416,0.5168035626411438,0.6950020790100098,Device.SCREEN,1706090334109
1706090334422,nan,nan,Device.NO_DEVICE,1706090334109
1706090334427,0.5168035626411438,0.6950020790100098,Device.SCREEN,1706090334109
1706090334437,nan,nan,Device.NO_DEVICE,1706090334109
1706090334451,nan,nan,Device.NO_DEVICE,1706090334109
1706090334466,0.5167388916015625,0.700711190700531,1,1706090334109
1706090334467,0.4907958805561065,0.7307296991348267,Device.SCREEN,1706090334109
1706090334472,0.4856012463569641,0.7097220420837402,Device.SCREEN,1706090334109
1706090334482,0.4856012463569641,0.7097220420837402,Device.SCREEN,1706090334109
1706090334484,nan,nan,Device.NO_DEVICE,1706090334109
1706090334496,0.4856012463569641,0.7097220420837402,Device.SCREEN,1706090334109
1706090334502,nan,nan,Device.NO_DEVICE,1706090334109
1706090334505,nan,nan,Device.NO_DEVICE,1706090334109
1706090334516,nan,nan,Device.NO_DEVICE,1706090334109
1706090334517,nan,nan,Device.NO_DEVICE,1706090334109
1706090334527,nan,nan,Device.NO_DEVICE,1706090334109
1706090334532,nan,nan,Device.NO_DEVICE,1706090334109
1706090334538,nan,nan,Device.NO_DEVICE,1706090334109
1706090334547,nan,nan,Device.NO_DEVICE,1706090334109
1706090334549,nan,nan,Device.NO_DEVICE,1706090334109
1706090334561,nan,nan,Device.NO_DEVICE,1706090334109
1706090334567,nan,nan,Device.NO_DEVICE,1706090334109
1706090334572,nan,nan,Device.NO_DEVICE,1706090334109
1706090334582,nan,nan,Device.NO_DEVICE,1706090334109
1706090334596,nan,nan,Device.NO_DEVICE,1706090334109
1706090334614,nan,nan,2,1706090334109
1706090334615,nan,nan,Device.NO_DEVICE,1706090334109
1706090334616,0.5380387902259827,0.6643247604370117,Device.SCREEN,1706090334109
1706090334631,nan,nan,Device.NO_DEVICE,1706090334109
1706090334632,0.5380387902259827,0.6643247604370117,Device.SCREEN,1706090334109
1706090334639,0.5233144760131836,0.6784936785697937,Device.SCREEN,1706090334109
1706090334649,nan,nan,Device.NO_DEVICE,1706090334109
1706090334650,0.5165228843688965,0.6600850224494934,Device.SCREEN,1706090334109
1706090334661,0.5165228843688965,0.6600850224494934,1,1706090334109
1706090334673,0.5165303349494934,0.6407350897789001,Device.SCREEN,1706090334109
1706090334679,nan,nan,Device.NO_DEVICE,1706090334109
1706090334684,0.5235250890254974,0.6333534121513367,Device.SCREEN,1706090334109
1706090334694,nan,nan,Device.NO_DEVICE,1706090334109
1706090334695,0.5271939337253571,0.632234513759613,Device.SCREEN,1706090334109
1706090334707,0.5313137173652649,0.6239646673202515,Device.SCREEN,1706090334109
1706090334712,nan,nan,Device.NO_DEVICE,1706090334109
1706090334718,0.5295456051826477,0.6177416145801544,Device.SCREEN,1706090334109
1706090334729,0.5283200740814209,0.6152972280979156,Device.SCREEN,1706090334109
1706090334730,nan,nan,Device.NO_DEVICE,1706090334109
1706090334745,nan,nan,Device.NO_DEVICE,1706090334109
1706090334760,nan,nan,Device.NO_DEVICE,1706090334109
1706090334763,0.5316554605960846,0.5997351408004761,Device.SCREEN,1706090334109
1706090334778,nan,nan,Device.NO_DEVICE,1706090334109
1706090334780,0.5312519669532776,0.5713457763195038,Device.SCREEN,1706090334109
1706090334785,0.531288743019104,0.5723099708557129,Device.SCREEN,1706090334109
1706090334793,nan,nan,Device.NO_DEVICE,1706090334109
1706090334799,0.529835045337677,0.5669470429420471,Device.SCREEN,1706090334109
1706090334807,0.529221773147583,0.5680430233478546,Device.SCREEN,1706090334109
1706090334811,nan,nan,Device.NO_DEVICE,1706090334109
1706090334818,0.5303390920162201,0.5640227496623993,Device.SCREEN,1706090334109
1706090334826,nan,nan,Device.NO_DEVICE,1706090334109
1706090334829,0.5307137370109558,0.5687016546726227,Device.SCREEN,1706090334109
1706090334840,0.531446099281311,0.5694392025470734,1,1706090334109
1706090334851,0.5294731259346008,0.5689516663551331,Device.SCREEN,1706090334109
1706090334858,nan,nan,Device.NO_DEVICE,1706090334109
1706090334862,0.5293000340461731,0.5672203600406647,Device.SCREEN,1706090334109
1706090334873,nan,nan,Device.NO_DEVICE,1706090334109
1706090334874,0.5272671580314636,0.5709825754165649,Device.SCREEN,1706090334109
1706090334885,0.5210119783878326,0.5992062985897064,Device.SCREEN,1706090334109
1706090334891,nan,nan,Device.NO_DEVICE,1706090334109
1706090334909,nan,nan,Device.NO_DEVICE,1706090334109
1706090334921,0.5197405219078064,0.6170870363712311,Device.SCREEN,1706090334109
1706090334922,0.5171195268630981,0.6258264482021332,Device.SCREEN,1706090334109
1706090334927,nan,nan,Device.NO_DEVICE,1706090334109
1706090334929,0.5161987841129303,0.6179308891296387,Device.SCREEN,1706090334109
1706090334941,0.5187745094299316,0.6156711876392365,Device.SCREEN,1706090334109
1706090334942,nan,nan,Device.NO_DEVICE,1706090334109
1706090334952,0.5184222161769867,0.6163769066333771,Device.SCREEN,1706090334109
1706090334960,nan,nan,Device.NO_DEVICE,1706090334109
1706090334963,0.5195572674274445,0.6166578531265259,Device.SCREEN,1706090334109
1706090334974,0.5192178189754486,0.6220579147338867,Device.SCREEN,1706090334109
1706090334975,nan,nan,Device.NO_DEVICE,1706090334109
1706090334985,0.5191345512866974,0.6187432706356049,Device.SCREEN,1706090334109
1706090334987,nan,nan,Device.NO_DEVICE,1706090334109
1706090334996,0.5176810324192047,0.6190922558307648,Device.SCREEN,1706090334109
1706090335005,nan,nan,Device.NO_DEVICE,1706090334109
1706090335007,0.516565352678299,0.6163986027240753,Device.SCREEN,1706090334109
1706090335018,0.5157576203346252,0.6196406483650208,Device.SCREEN,1706090334109
1706090335023,nan,nan,Device.NO_DEVICE,1706090334109
