key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,16:06:29
Frame Index Range:,0 - 1034
Relative Time Range,00:00.000 - 00:40.286
Absolute Time Range,353400.460558 - 353440.747093
