key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:58:31
Frame Index Range:,0 - 1076
Relative Time Range,00:00.000 - 00:43.437
Absolute Time Range,171316.585731 - 171360.023692
