key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:53:11
Frame Index Range:,0 - 986
Relative Time Range,00:00.000 - 00:50.945
Absolute Time Range,260010.45174 - 260061.396989
