key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:47:28
Frame Index Range:,0 - 767
Relative Time Range,00:00.000 - 00:38.771
Absolute Time Range,194306.460485 - 194345.23247699998
