key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:56:58
Frame Index Range:,0 - 1146
Relative Time Range,00:00.000 - 00:46.558
Absolute Time Range,170978.724956 - 171025.283934
