pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
346704.55780899996,0,0,1.0,0.37827358245849607,0.39550139109293625,49.38027572631836,2d c++,121.04754638671875,145.0796661376953,39.315059661865234,49.38027572631836,143.37237548828125,,,,,,,,,,,,,,,,,,,,,
346704.55780899996,0,0,1.0,0.37829922411525724,0.39563029077684186,49.38658717998496,pye3d 0.3.0 real-time,121.05575171688231,145.04873021355795,38.01061492708298,49.38658717998496,142.18155788576507,4.223337878949719,1.0,,1.170874643319668,-1.7772822621521183,41.54301144311642,10.392304845413264,-3.9192702935116275,2.2372843412806365,33.42059311427783,-0.4897994249156265,0.3863018515285971,-0.7815800681042854,2.1116689394748596,1.1741775043181426,-2.13060174311776,169.3815879314246,105.41925973891111,203.02793054003837,203.02793054003837,0.0
346704.56618699996,0,0,1.0,0.37831805928020423,0.39508886879397953,49.53745325701703,pye3d 0.3.0 real-time,121.06177896966535,145.17867148944492,38.170387418251714,49.53745325701703,142.26434967712444,4.237802285322322,1.0,,1.170874643319668,-1.7772822621521183,41.54301144311642,10.392304845413264,-3.915089294136015,2.217108664119658,33.408036830063345,-0.4893971080631279,0.3843604460886014,-0.7827882971161606,2.118901142661161,1.1762813746133904,-2.129537488218218,169.3815879314246,105.41925973891111,203.02793054003837,203.02793054003837,0.0
346704.56618699996,0,0,1.0,0.3783736228942871,0.3949748357137044,49.53485870361328,2d c++,121.07955932617188,145.20603942871094,38.30485534667969,49.53485870361328,144.22413635253903,,,,,,,,,,,,,,,,,,,,,
346704.573845,0,0,1.0,0.3798039197921753,0.39553648630777993,49.461326599121094,2d c++,121.5372543334961,145.0712432861328,38.18971633911133,49.461326599121094,143.59672546386716,,,,,,,,,,,,,,,,,,,,,
346704.573845,0,0,1.0,0.379754657005573,0.39560634446690535,49.46234474279856,pye3d 0.3.0 real-time,121.52149024178335,145.05447732794272,38.322741261109506,49.46234474279856,142.2107857340934,4.230063379191867,1.0,,1.170874643319668,-1.7772822621521183,41.54301144311642,10.392304845413264,-3.869656418650105,2.186434407903702,33.36487004223324,-0.4850253275811531,0.3814088144080225,-0.7869420232117876,2.1150316895959334,1.1794764880870534,-2.123145339069923,169.3815879314246,105.41925973891111,203.02793054003837,203.02793054003837,0.0
346704.581833,0,0,0.96870356798172,0.3798548659163111,0.3961623501049111,49.553142782727576,pye3d 0.3.0 real-time,121.55355709321955,144.92103597482134,38.55633116541905,49.553142782727576,142.33302719162253,4.239042135900235,1.0,,1.170874643319668,-1.7772822621521183,41.54301144311642,10.392304845413264,-3.8392012584175763,2.145551627922979,33.32653326023843,-0.4820947784214092,0.377474867070174,-0.7906309817792159,2.1195210679501173,1.1837284179459302,-2.118361067236941,169.3815879314246,105.41925973891111,203.02793054003837,203.02793054003837,0.0
346704.581833,0,0,0.96870356798172,0.37986762523651124,0.39607435862223306,49.549991607666016,2d c++,121.5576400756836,144.94215393066406,39.04856491088867,49.549991607666016,143.50407409667966,,,,,,,,,,,,,,,,,,,,,
346704.589935,1,0,1.0,0.37959096431732176,0.3954061508178711,49.6375732421875,2d c++,121.46910858154297,145.10252380371094,38.92047119140625,49.6375732421875,143.3815460205078,,,,,,,,,,,,,,,,,,,,,
346704.589935,1,0,1.0,0.37957035041667264,0.3954756017027403,49.63969382387542,pye3d 0.3.0 real-time,121.46251213333525,145.08585559134232,38.664928289883285,49.63969382387542,142.33778180079904,4.2487081447698625,1.0,,1.170874643319668,-1.7772822621521183,41.54301144311642,10.392304845413264,-3.826767620921811,2.1330390725532835,33.31300786729611,-0.4808983510955448,0.3762708458683501,-0.7919324633219064,2.1243540723849312,1.1850282849697364,-2.1165272297948063,169.3815879314246,105.41925973891111,203.02793054003837,203.02793054003837,0.0
346704.597849,1,0,1.0,0.37985274791717527,0.39556662241617835,49.77090835571289,2d c++,121.5528793334961,145.0640106201172,39.14869689941406,49.77090835571289,142.30926513671875,,,,,,,,,,,,,,,,,,,,,
346704.597849,1,0,1.0,0.37985929391762363,0.39558156663816957,49.77175860668298,pye3d 0.3.0 real-time,121.55497405363955,145.0604240068393,38.95462686226515,49.77175860668298,142.217760753635,4.261794914939816,1.0,,1.170874643319668,-1.7772822621521183,41.54301144311642,10.392304845413264,-3.771884956759494,2.1099177094276333,33.269027885193694,-0.4756172642742185,0.37404599166424585,-0.7961644390728708,2.130897457469908,1.1874284460259152,-2.109291342893112,169.3815879314246,105.41925973891111,203.02793054003837,203.02793054003837,0.0
346704.605845,1,0,1.0,0.37969558238983153,0.39554691314697266,49.77028274536133,2d c++,121.5025863647461,145.06874084472656,39.13490676879883,49.77028274536133,142.63813781738284,,,,,,,,,,,,,,,,,,,,,
