key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:45:13
Frame Index Range:,0 - 1145
Relative Time Range,00:00.000 - 00:46.675
Absolute Time Range,346704.553571 - 346751.229076
