key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:49:56
Frame Index Range:,0 - 1311
Relative Time Range,00:00.000 - 00:52.652
Absolute Time Range,353588.472309 - 353641.124617
