key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:59:10
Frame Index Range:,0 - 1069
Relative Time Range,00:00.000 - 00:43.060
Absolute Time Range,171056.19 - 171099.250243
