key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:43:41
Frame Index Range:,0 - 1049
Relative Time Range,00:00.000 - 00:41.650
Absolute Time Range,346398.354236 - 346440.00494899997
