key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,16:30:54
Frame Index Range:,0 - 970
Relative Time Range,00:00.000 - 00:52.378
Absolute Time Range,70307.09418999999 - 70359.47316899999
