id,block,x0,y0,x1,y1,x2,y2,x3,y3,level
0,8,24,9,25,9,25,10,24,10,0
1,7,24,11,25,11,25,12,24,12,0
2,6,24,13,23,13,23,14,24,14,0
3,11,20,9,23,9,23,10,20,10,0
4,10,20,11,23,11,23,12,20,12,0
5,9,20,13,23,13,23,14,20,14,0
6,5,26,11,29,11,29,12,26,12,0
7,2,30,11,31,11,31,12,30,12,0
8,1,28,9,29,9,29,10,28,10,0
9,0,28,13,29,13,29,14,28,14,0
