key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,23.01.2024
Export Time,12:08:56
Frame Index Range:,0 - 950
Relative Time Range,00:00.000 - 00:42.470
Absolute Time Range,416028.005012 - 416070.47586299997
