device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
14122794099,14100274310,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-146.41915893554688, -54.16273498535156, 927.1144409179688)","(0.7201709747314453, 0.5884421467781067, 1.0803333520889282)",1,"(0.4491201937198639, 0.44948384165763855)","(-18.703218460083008, 123.83643341064453, 37.026824951171875)",1,3.913299560546875,1,"(-86.8144760131836, -62.912086486816406, 935.1939697265625)","(0.6276593804359436, 0.6063634157180786, 1.0826389789581299)",1,1706707211341,0.4491201937198639,0.44948384165763855
14122805202,14100285412,"(0.46578821539878845, 0.3109896183013916)","(-12.5757474899292, 150.7479248046875, 46.82182693481445)",1,5.708892822265625,1,"(-145.52590942382812, -54.24309158325195, 927.470947265625)","(0.7187150716781616, 0.5885817408561707, 1.0807684659957886)",1,"(0.5044609904289246, 0.4793866276741028)","(1.6410773992538452, 118.02586364746094, 34.91202163696289)",1,4.18133544921875,1,"(-86.02245330810547, -63.2318229675293, 935.4976806640625)","(0.6264159679412842, 0.6069854497909546, 1.0831400156021118)",1,1706707211353,0.49,0.4
14122816306,14100296515,"(0.46578821539878845, 0.3109896183013916)","(-12.5757474899292, 150.7479248046875, 46.82182693481445)",1,5.708892822265625,1,"(-147.06935119628906, -54.04609680175781, 928.4563598632812)","(0.7208399772644043, 0.588035523891449, 1.0831692218780518)",1,"(0.3592446744441986, 0.045487768948078156)","(-51.743125915527344, 202.3388214111328, 65.5993881225586)",1,3.3259124755859375,1,"(-87.54277801513672, -63.04169845581055, 936.5742797851562)","(0.6285715699195862, 0.6064266562461853, 1.0855337381362915)",1,1706707211393,0.41,0.18
14122827409,14100307617,"(0.46578821539878845, 0.3109896183013916)","(-12.5757474899292, 150.7479248046875, 46.82182693481445)",1,5.708892822265625,1,"(-147.07164001464844, -54.05031967163086, 928.4564208984375)","(0.7208435535430908, 0.5880441069602966, 1.0831705331802368)",1,"(0.3592446744441986, 0.045487768948078156)","(-51.743125915527344, 202.3388214111328, 65.5993881225586)",1,3.3259124755859375,1,"(-87.54046630859375, -63.037471771240234, 936.57421875)","(0.6285679936408997, 0.6064181923866272, 1.085532546043396)",1,1706707211393,0.41,0.18
14122838512,14100318718,"(0.4622618556022644, 0.337380588054657)","(-13.872109413146973, 145.6197509765625, 44.95537567138672)",1,5.738739013671875,1,"(-146.97093200683594, -53.46049880981445, 927.1390380859375)","(0.7210025787353516, 0.5869923830032349, 1.0804736614227295)",1,"(0.43102988600730896, 0.38031476736068726)","(-25.35355567932129, 137.27699279785156, 41.91887664794922)",1,3.854949951171875,1,"(-87.50493621826172, -62.49599075317383, 935.2534790039062)","(0.6286957263946533, 0.6054988503456116, 1.0828297138214111)",1,1706707211393,0.45,0.36
14122849615,14100329820,"(0.4622618556022644, 0.337380588054657)","(-13.872109413146973, 145.6197509765625, 44.95537567138672)",1,5.738739013671875,1,"(-147.411865234375, -53.898555755615234, 927.5642700195312)","(0.7215808629989624, 0.5878309607505798, 1.0815002918243408)",1,"(0.4476238787174225, 0.42936715483665466)","(-19.2533016204834, 127.74539184570312, 38.44966506958008)",1,3.950164794921875,1,"(-87.9315414428711, -62.94169998168945, 935.7092895507812)","(0.6292850375175476, 0.6063332557678223, 1.0838741064071655)",1,1706707211398,0.45,0.38
14122860718,14100340923,"(0.4622618556022644, 0.337380588054657)","(-13.872109413146973, 145.6197509765625, 44.95537567138672)",1,5.738739013671875,1,"(-147.4141845703125, -53.902801513671875, 927.564208984375)","(0.7215844392776489, 0.5878396034240723, 1.0815013647079468)",1,"(0.4476238787174225, 0.42936715483665466)","(-19.2533016204834, 127.74539184570312, 38.44966506958008)",1,3.950164794921875,1,"(-87.9292221069336, -62.93745422363281, 935.7093505859375)","(0.6292814612388611, 0.6063246726989746, 1.0838732719421387)",1,1706707211411,0.45,0.38
14122871821,14100352025,"(0.4698803722858429, 0.3380211591720581)","(-11.071402549743652, 145.49525451660156, 44.91007614135742)",1,5.7426605224609375,1,"(-147.50498962402344, -53.76958465576172, 927.6126098632812)","(0.721710205078125, 0.5875598788261414, 1.0816099643707275)",1,"(0.45141518115997314, 0.4423583745956421)","(-17.859546661376953, 125.22100830078125, 37.53081512451172)",1,3.9384765625,1,"(-88.06739044189453, -62.86692428588867, 935.7615966796875)","(0.6294830441474915, 0.6061721444129944, 1.0839935541152954)",1,1706707211421,0.46,0.39
14122882924,14100363128,"(0.4698803722858429, 0.3380211591720581)","(-11.071402549743652, 145.49525451660156, 44.91007614135742)",1,5.7426605224609375,1,"(-147.80931091308594, -53.915863037109375, 928.014892578125)","(0.7220802903175354, 0.5878066420555115, 1.0825154781341553)",1,"(0.4474673867225647, 0.44813379645347595)","(-19.31082534790039, 124.09877014160156, 37.12234878540039)",1,3.9274749755859375,1,"(-88.349609375, -63.01417541503906, 936.183349609375)","(0.6298532485961914, 0.6064085364341736, 1.0849039554595947)",1,1706707211431,0.46,0.39
14122894027,14100374231,"(0.4698803722858429, 0.3380211591720581)","(-11.071402549743652, 145.49525451660156, 44.91007614135742)",1,5.7426605224609375,1,"(-147.8116455078125, -53.920127868652344, 928.014892578125)","(0.7220839262008667, 0.5878153443336487, 1.0825166702270508)",1,"(0.4474673867225647, 0.44813379645347595)","(-19.31082534790039, 124.09877014160156, 37.12234878540039)",1,3.9274749755859375,1,"(-88.34727478027344, -63.00990676879883, 936.183349609375)","(0.6298496127128601, 0.6063998937606812, 1.0849030017852783)",1,1706707211442,0.46,0.39
14122905131,14100385335,"(0.48036089539527893, 0.3585907816886902)","(-7.21856164932251, 141.498291015625, 43.45528030395508)",1,5.7575836181640625,1,"(-147.8748779296875, -53.97258758544922, 927.867919921875)","(0.7222176194190979, 0.5879384279251099, 1.082252860069275)",1,"(0.47357994318008423, 0.43406105041503906)","(-9.711370468139648, 126.83330535888672, 38.11770248413086)",1,3.931121826171875,1,"(-88.45342254638672, -63.06977844238281, 936.0387573242188)","(0.6300325989723206, 0.606538712978363, 1.0846436023712158)",1,1706707211454,0.48,0.4
