key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,10.01.2024
Export Time,15:06:35
Frame Index Range:,0 - 854
Relative Time Range,00:00.000 - 00:47.072
Absolute Time Range,75531.527441 - 75578.600404
