timestamp,event,device
23,enter,SCREEN
87,quit,SCREEN
88,enter,TABLE
97,quit,TABLE
98,enter,SCREEN
322,quit,SCREEN
430,enter,TABLE
491,quit,TABLE
994,enter,TABLE
1057,quit,TABLE
1327,enter,SCREEN
1482,quit,SCREEN
1483,enter,TABLE
1492,quit,TABLE
1493,enter,SCREEN
1839,quit,SCREEN
1840,enter,TABLE
1846,quit,TABLE
1847,enter,SCREEN
1905,quit,SCREEN
1906,enter,TABLE
1943,quit,TABLE
1944,enter,SCREEN
2480,quit,SCREEN
2668,enter,TABLE
2778,quit,TABLE
2798,enter,TABLE
2924,quit,TABLE
3232,enter,SCREEN
3357,grasp,BLOCK
3818,quit,SCREEN
4231,enter,TABLE
5690,release,BLOCK
5750,quit,TABLE
