key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,17.01.2024
Export Time,11:53:53
Frame Index Range:,0 - 709
Relative Time Range,00:00.000 - 00:39.093
Absolute Time Range,429497.189772 - 429536.28344699997
