key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:44:08
Frame Index Range:,0 - 728
Relative Time Range,00:00.000 - 00:37.158
Absolute Time Range,194238.721551 - 194275.87985199998
