timestamp,distance
11,nan
29,nan
43,nan
58,nan
73,nan
91,nan
109,nan
123,nan
141,nan
155,nan
176,nan
194,nan
209,nan
221,nan
239,nan
253,nan
271,nan
289,nan
304,nan
319,nan
336,nan
353,nan
369,nan
381,nan
401,nan
416,nan
434,nan
449,nan
464,nan
479,nan
505,nan
513,nan
531,nan
546,nan
564,nan
576,nan
597,nan
609,nan
627,nan
642,nan
663,nan
675,nan
693,nan
707,nan
727,nan
739,nan
757,nan
771,nan
789,nan
807,nan
821,nan
835,nan
855,nan
869,nan
887,nan
902,nan
919,nan
933,nan
953,nan
965,nan
983,nan
1000,nan
1017,nan
1032,nan
1049,nan
1064,nan
1085,nan
1097,nan
1112,nan
1127,nan
1147,nan
1162,nan
1188,nan
1197,nan
1212,nan
1227,nan
1245,nan
1260,nan
1275,nan
1290,nan
1311,nan
1325,nan
1339,nan
1357,nan
1375,nan
1389,nan
1410,nan
1422,nan
1437,nan
1452,nan
1470,nan
1488,nan
1503,nan
1521,nan
1536,nan
1551,nan
1572,nan
1584,nan
1599,nan
1616,nan
1634,nan
1649,nan
1667,nan
1681,nan
1696,nan
1717,nan
1729,nan
1746,nan
1761,nan
1779,nan
1794,nan
1812,nan
1830,nan
1842,nan
1860,nan
1877,nan
1892,nan
1907,nan
1928,nan
1939,nan
1957,nan
1975,nan
1990,nan
2005,nan
2026,nan
2038,nan
2053,nan
2068,nan
2092,nan
2104,nan
2121,nan
2135,nan
2156,29.394061687516977
2168,28.874132191742277
2183,27.393864160856914
2198,27.940346912788634
2216,26.954224882891427
2237,27.236678248552128
2249,26.17747740735542
2264,26.050620995469156
2282,26.029933349364494
2297,26.598262771203185
2315,28.056977732702954
2332,28.504993860481925
2344,28.844714462076915
2362,29.28984264514945
2379,29.454623017210206
2394,29.656947010261366
2412,nan
2424,nan
2442,nan
2460,nan
2475,nan
2493,nan
2507,nan
2522,nan
2539,nan
2556,nan
2571,nan
2589,nan
2604,nan
2619,nan
2636,nan
2651,nan
2669,nan
2686,nan
2701,nan
2716,nan
2733,nan
2751,nan
2767,nan
2784,nan
2798,22.010961293213526
2816,8.232734950375782
2834,6.554816540891728
2852,5.95268305738126
2866,7.425196445518645
2881,6.434335542692275
2898,6.187930523617564
2918,6.239843854487352
2932,5.814668010743581
2959,4.879998188337747
2973,5.7004315036023625
2991,5.8044779725898445
2997,6.2863011607249515
3011,5.929703439923761
3029,6.361840468500077
3043,nan
3061,nan
3079,13.8035173956917
3091,nan
3106,nan
3123,nan
3141,nan
3155,nan
3170,nan
3187,nan
3208,nan
3223,nan
3238,nan
3252,nan
3269,nan
3287,nan
3302,nan
3317,nan
3332,nan
3349,nan
3369,nan
3381,nan
3398,nan
3413,nan
3433,nan
3447,nan
3462,nan
3480,nan
3495,nan
3516,nan
3528,nan
3545,nan
3559,nan
3576,nan
3594,nan
3609,nan
3627,nan
3641,nan
3659,nan
3677,nan
3689,nan
3707,nan
3721,nan
3739,nan
3756,nan
3771,nan
3789,nan
3804,nan
3822,nan
3836,nan
3851,nan
3869,nan
3887,nan
3902,nan
3917,nan
3935,nan
3950,nan
3970,nan
3982,nan
3997,nan
4015,nan
4033,nan
4048,nan
4066,nan
4081,nan
4098,nan
4118,nan
4132,nan
4147,nan
4164,nan
4179,nan
4197,nan
4211,nan
4232,nan
4244,nan
4262,nan
4283,nan
4295,nan
4307,nan
4328,nan
4340,nan
4360,nan
4375,nan
4392,nan
4407,nan
4425,nan
4442,nan
4456,nan
4471,nan
4489,nan
4504,nan
4521,nan
4536,nan
4553,nan
4568,nan
4591,nan
4600,nan
4618,nan
4633,nan
4650,nan
4665,nan
4683,nan
4697,nan
4717,nan
4732,nan
4747,nan
4762,nan
4782,nan
4797,nan
4811,nan
4829,nan
4847,nan
4859,nan
