key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:51:40
Frame Index Range:,0 - 1016
Relative Time Range,00:00.000 - 00:56.048
Absolute Time Range,259707.090674 - 259763.139192
