key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,10:44:49
Frame Index Range:,0 - 1138
Relative Time Range,00:00.000 - 00:49.901
Absolute Time Range,-916038.518556 - -915988.61706
