timestamp,event,device
0,enter,TABLE
2035,quit,TABLE
2305,enter,TABLE
3001,quit,TABLE
3247,enter,TABLE
3416,quit,TABLE
3835,enter,SCREEN
3960,quit,SCREEN
4077,enter,SCREEN
4240,quit,SCREEN
4297,enter,SCREEN
4411,quit,SCREEN
4464,enter,TABLE
4765,quit,TABLE
4990,enter,TABLE
5303,quit,TABLE
5935,enter,SCREEN
5997,quit,SCREEN
6282,enter,SCREEN
6451,quit,SCREEN
6452,enter,TABLE
6995,quit,TABLE
7174,enter,SCREEN
7362,grasp,BLOCK
7422,quit,SCREEN
7597,enter,TABLE
9146,quit,TABLE
9338,enter,TABLE
9462,quit,TABLE
9527,enter,TABLE
11286,release,BLOCK
11346,quit,TABLE
