timestamp,event,device
0,enter,SCREEN
58,quit,SCREEN
59,enter,TABLE
224,quit,TABLE
225,enter,SCREEN
457,quit,SCREEN
518,enter,TABLE
570,quit,TABLE
571,enter,SCREEN
786,quit,SCREEN
787,enter,TABLE
841,quit,TABLE
842,enter,SCREEN
893,quit,SCREEN
894,enter,TABLE
950,quit,TABLE
951,enter,SCREEN
1002,quit,SCREEN
1003,enter,TABLE
1054,quit,TABLE
1055,enter,SCREEN
1460,quit,SCREEN
1461,enter,TABLE
2086,quit,TABLE
2086,enter,SCREEN
2297,grasp,BLOCK
2923,quit,SCREEN
3031,enter,TABLE
4397,release,BLOCK
4457,quit,TABLE
