key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:14:22
Frame Index Range:,0 - 986
Relative Time Range,00:00.000 - 00:49.424
Absolute Time Range,79633.327803 - 79682.752734
