timestamp,event,device
0,enter,TABLE
168,quit,TABLE
218,enter,TABLE
357,quit,TABLE
559,enter,SCREEN
1902,quit,SCREEN
2070,enter,TABLE
2181,quit,TABLE
2294,enter,TABLE
2405,quit,TABLE
2565,enter,TABLE
2668,quit,TABLE
2717,enter,TABLE
3287,quit,TABLE
3416,enter,TABLE
3508,quit,TABLE
3508,enter,SCREEN
5004,quit,SCREEN
5197,grasp,BLOCK
5294,enter,TABLE
5888,quit,TABLE
5938,enter,TABLE
6081,quit,TABLE
6129,enter,TABLE
6178,quit,TABLE
6179,enter,SCREEN
7707,quit,SCREEN
7853,enter,TABLE
9395,release,BLOCK
9455,quit,TABLE
