key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:15:46
Frame Index Range:,0 - 868
Relative Time Range,00:00.000 - 00:50.685
Absolute Time Range,606.2267949999999 - 656.9118259999999
