device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
3646533599,2163736216343,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-75.80769348144531, 20.156679153442383, 870.046875)","(0.6184175610542297, 0.43488192558288574, 0.9471516013145447)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791984938
3646544702,2163736227446,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-74.34310150146484, 21.74569320678711, 870.1749267578125)","(0.6159809231758118, 0.43145209550857544, 0.9472310543060303)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791984948
3646555805,2163736238550,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-73.60819244384766, 21.94203758239746, 870.2380981445312)","(0.61476731300354, 0.4310421347618103, 0.9472424387931824)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791984960
3646566908,2163736249654,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-73.80238342285156, 22.992992401123047, 870.2197875976562)","(0.6150722503662109, 0.42874500155448914, 0.9472927451133728)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791984971
3646578011,2163736260757,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-72.26289367675781, 22.722469329833984, 870.3507690429688)","(0.6125404238700867, 0.429373562335968, 0.947282075881958)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791984982
3646589114,2163736271861,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-71.96802520751953, 22.89869499206543, 870.3762817382812)","(0.6120522618293762, 0.4289966821670532, 0.9472934603691101)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791984994
3646600218,2163736282966,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-71.07971954345703, 23.958738327026367, 870.4408569335938)","(0.6105757355690002, 0.42670682072639465, 0.9473335146903992)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791985004
3646611321,2163736294069,"(0.6968880295753479, 0.6042414903640747)","(72.38085174560547, 93.76470947265625, 26.08168601989746)",1,3.941741943359375,1,"(-70.35929870605469, 22.650312423706055, 870.506591796875)","(0.6094079613685608, 0.42957815527915955, 0.9472782015800476)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791985027,0.6968880295753479,0.6042414903640747
3646622424,2163736305173,"(0.6968880295753479, 0.6042414903640747)","(72.38085174560547, 93.76470947265625, 26.08168601989746)",1,3.941741943359375,1,"(-68.79509735107422, 24.364538192749023, 870.6246337890625)","(0.6068103909492493, 0.42587921023368835, 0.9473564624786377)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791985048,0.6968880295753479,0.6042414903640747
3646633527,2163736316277,"(0.7065125107765198, 0.5634356737136841)","(75.91898345947266, 101.69389343261719, 28.967670440673828)",1,4.080657958984375,1,"(-67.28097534179688, 23.634212493896484, 870.6026000976562)","(0.6043484210968018, 0.4275003969669342, 0.947036623954773)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791985049,0.7065125107765198,0.5634356737136841
