key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:51:13
Frame Index Range:,0 - 940
Relative Time Range,00:00.000 - 00:37.742
Absolute Time Range,353443.973945 - 353481.716886
