key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,11:18:52
Frame Index Range:,0 - 1962
Relative Time Range,00:00.000 - 01:38.836
Absolute Time Range,235671.202554 - 235770.03892999998
