key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:08:19
Frame Index Range:,0 - 1233
Relative Time Range,00:00.000 - 01:08.119
Absolute Time Range,180533.997713 - 180602.11705099998
