key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:46:54
Frame Index Range:,0 - 752
Relative Time Range,00:00.000 - 00:40.465
Absolute Time Range,360662.706341 - 360703.171414
