key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,10:43:44
Frame Index Range:,0 - 1660
Relative Time Range,00:00.000 - 01:06.076
Absolute Time Range,-916492.9757289999 - -916426.899058
