device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
8235056963,347789049427,"(0.032846007496118546, 0.21999360620975494)","(-171.73333740234375, 168.42974853515625, 53.257572174072266)",1,3.7980804443359375,1,"(-72.32977294921875, 49.02918243408203, 896.2090454101562)","(0.6088774800300598, 0.37512364983558655, 1.000917673110962)",1,"(0.05908069387078285, 0.20571476221084595)","(-162.08900451660156, 171.20436096191406, 54.267391204833984)",1,3.848907470703125,1,"(-11.58360481262207, 34.9207763671875, 898.4076538085938)","(0.5125511288642883, 0.40637198090553284, 0.9983214139938354)",1,1705936668282,0.05,0.21
8235068066,347789060530,"(0.023461272940039635, 0.21107663214206696)","(-175.183349609375, 170.16246032714844, 53.88819885253906)",1,3.79998779296875,1,"(-72.34931182861328, 49.017704010009766, 895.7288818359375)","(0.6089699268341064, 0.37509116530418396, 0.9999638795852661)",1,"(0.05424914136528969, 0.21339119970798492)","(-163.86517333984375, 169.71270751953125, 53.724464416503906)",1,3.8635406494140625,1,"(-11.622804641723633, 34.926910400390625, 897.9306640625)","(0.5126227140426636, 0.40631893277168274, 0.997369647026062)",1,1705936668293,0.04,0.21
8235079169,347789071627,"(0.025051387026906013, 0.21629850566387177)","(-174.5988006591797, 169.14779663085938, 53.51887893676758)",1,3.8115234375,1,"(-72.02861785888672, 49.10383987426758, 896.0387573242188)","(0.6084197163581848, 0.3749513328075409, 1.0005385875701904)",1,"(0.05157512053847313, 0.21634069085121155)","(-164.8481903076172, 169.1395721435547, 53.51585388183594)",1,3.8584136962890625,1,"(-11.10735034942627, 35.011295318603516, 898.2189331054688)","(0.5117988586425781, 0.4061743915081024, 0.9979393482208252)",1,1705936668304,0.04,0.22
8235090272,347789082720,"(0.026031270623207092, 0.22205983102321625)","(-174.2385711669922, 168.02828979492188, 53.11140060424805)",1,3.79461669921875,1,"(-72.29524993896484, 48.952640533447266, 896.40625)","(0.608798623085022, 0.375309556722641, 1.0012964010238647)",1,"(0.05454615131020546, 0.20777063071727753)","(-163.75596618652344, 170.80487060546875, 54.122005462646484)",1,3.833740234375,1,"(-11.186864852905273, 34.77418899536133, 898.605224609375)","(0.5119208693504333, 0.4067055881023407, 0.9986948370933533)",1,1705936668315,0.04,0.21
8235101375,347789093812,"(0.036007944494485855, 0.23345938324928284)","(-170.5709686279297, 165.81317138671875, 52.3051872253418)",1,3.79150390625,1,"(-73.02513885498047, 49.331180572509766, 895.8865356445312)","(0.6100192666053772, 0.3744322657585144, 1.0004210472106934)",1,"(0.05739528313279152, 0.19660063087940216)","(-162.70858764648438, 172.9753875732422, 54.911991119384766)",1,3.821746826171875,1,"(-11.972444534301758, 35.19295883178711, 898.1317138671875)","(0.5131689310073853, 0.40576642751693726, 0.9978013634681702)",1,1705936668326,0.05,0.22
8235112478,347789104903,"(0.034328870475292206, 0.22694462537765503)","(-171.18821716308594, 167.07908630371094, 52.76594161987305)",1,3.75927734375,1,"(-73.45062255859375, 49.579219818115234, 897.4010009765625)","(0.6104960441589355, 0.37407806515693665, 1.0035316944122314)",1,"(0.06339635699987411, 0.1981695145368576)","(-160.50247192382812, 172.67051696777344, 54.80104446411133)",1,3.8292999267578125,1,"(-12.32140064239502, 35.46804428100586, 899.6697387695312)","(0.5136854648590088, 0.4053068161010742, 1.0009057521820068)",1,1705936668343,0.05,0.21
8235123581,347789115994,"(0.028604498133063316, 0.21598747372627258)","(-173.2926025390625, 169.20819091796875, 53.54087829589844)",1,3.7112884521484375,1,"(-73.60602569580078, 49.68994140625, 898.4523315429688)","(0.6106052398681641, 0.37396547198295593, 1.0056616067886353)",1,"(0.05381704121828079, 0.19949111342430115)","(-164.02401733398438, 172.4136962890625, 54.70756149291992)",1,3.8078765869140625,1,"(-12.429519653320312, 35.611228942871094, 900.729248046875)","(0.5138319730758667, 0.4050912857055664, 1.0030373334884644)",1,1705936668367,0.04,0.21
8235134685,347789127096,"(0.021454574540257454, 0.2094038873910904)","(-175.92103576660156, 170.48748779296875, 54.006500244140625)",1,3.7071990966796875,1,"(-73.58612060546875, 49.67316818237305, 897.8932495117188)","(0.6106460690498352, 0.3739350438117981, 1.0045439004898071)",1,"(0.050218142569065094, 0.20523406565189362)","(-165.34703063964844, 171.2977294921875, 54.3013916015625)",1,3.8109893798828125,1,"(-12.455620765686035, 35.63615417480469, 900.17138671875)","(0.5138847231864929, 0.4049915373325348, 1.0019252300262451)",1,1705936668367,0.04,0.21
8235145788,347789138197,"(0.021535295993089676, 0.20415499806404114)","(-175.89137268066406, 171.50743103027344, 54.37773513793945)",1,3.7067413330078125,1,"(-73.92164611816406, 49.79610824584961, 899.1143798828125)","(0.6110180616378784, 0.37381353974342346, 1.007042646408081)",1,"(0.04277468100190163, 0.1984444111585617)","(-168.08340454101562, 172.61709594726562, 54.781585693359375)",1,3.797698974609375,1,"(-12.720643997192383, 35.78926467895508, 901.4126586914062)","(0.5142745971679688, 0.404767781496048, 1.004425048828125)",1,1705936668370,0.03,0.2
8235156891,347789149299,"(0.024826938286423683, 0.2119748890399933)","(-174.68130493164062, 169.98794555664062, 53.82463455200195)",1,3.68768310546875,1,"(-74.02655029296875, 49.83966827392578, 899.7124633789062)","(0.6111060976982117, 0.373790442943573, 1.008254885673523)",1,"(0.033754996955394745, 0.18481849133968353)","(-171.39918518066406, 175.2648162841797, 55.74530792236328)",1,3.7691650390625,1,"(-12.789887428283691, 35.85639953613281, 902.0172119140625)","(0.514369785785675, 0.4046758711338043, 1.0056403875350952)",1,1705936668383,0.03,0.2
8235167994,347789160400,"(0.022779114544391632, 0.21586160361766815)","(-175.4341278076172, 169.23269653320312, 53.54975891113281)",1,3.692138671875,1,"(-73.95780944824219, 49.79327392578125, 899.1052856445312)","(0.6110765337944031, 0.3738177716732025, 1.0070301294326782)",1,"(0.03503675386309624, 0.19141437113285065)","(-170.92800903320312, 173.98313903808594, 55.27881622314453)",1,3.76239013671875,1,"(-12.759299278259277, 35.84126281738281, 901.4083251953125)","(0.5143349766731262, 0.40465718507766724, 1.004421591758728)",1,1705936668392,0.03,0.2
