key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,10.01.2024
Export Time,13:35:24
Frame Index Range:,0 - 1222
Relative Time Range,00:00.000 - 00:47.708
Absolute Time Range,72059.18087299999 - 72106.889572
