key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,16:03:03
Frame Index Range:,0 - 1038
Relative Time Range,00:00.000 - 00:52.386
Absolute Time Range,358803.681231 - 358856.067546
