key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,23.01.2024
Export Time,12:09:38
Frame Index Range:,0 - 1240
Relative Time Range,00:00.000 - 00:47.349
Absolute Time Range,416469.8276 - 416517.177532
