timestamp,distance
0,nan
59,nan
133,nan
200,nan
266,nan
329,nan
393,nan
456,nan
504,nan
591,nan
636,nan
689,30.43824108063924
749,29.27380361703003
865,24.58083394386096
937,27.049246763584026
1003,29.46513361168729
1069,29.768965661767623
1134,28.517526841973147
1197,27.731611703239384
1259,27.882359563909446
1328,27.481552093338326
1400,27.173601168468576
1471,1.5732130787525895
1542,1.5472595747731606
1607,1.785200303547699
1669,2.2225763593712706
1732,2.2843550382305238
1800,2.096414619946189
1883,1.4325916457072063
1947,2.8260710773505773
2034,2.5969730122225907
2097,4.280565742360548
2158,4.345206685117671
2218,38.50035348380933
2277,nan
2337,nan
2403,26.53185829279278
2473,26.556576770412395
2539,26.505922571222573
2609,nan
2679,nan
2751,31.685627982359684
2817,35.82823646460844
2875,nan
2929,1.6104672795440729
2986,1.946618611669697
3048,1.3140181364306363
3106,1.8288027811118073
3165,1.6917678831803633
3225,1.481513753159837
3285,1.4213080771457174
3342,1.384283493726626
3404,1.0828392450845672
3464,0.798354389267695
3524,1.0391885336465636
3585,1.3961177382903818
3644,2.3591461626034658
3703,2.283159792423886
3764,29.42742862974685
