timestamp,event,device
3,enter,SCREEN
681,quit,SCREEN
682,enter,TABLE
691,quit,TABLE
692,enter,SCREEN
1072,quit,SCREEN
1073,enter,TABLE
1073,quit,TABLE
1074,enter,SCREEN
1101,quit,SCREEN
1102,enter,TABLE
1103,quit,TABLE
1104,enter,SCREEN
1134,quit,SCREEN
1135,enter,TABLE
1135,quit,TABLE
1136,enter,SCREEN
1167,quit,SCREEN
1168,enter,TABLE
1169,quit,TABLE
1170,enter,SCREEN
1425,quit,SCREEN
1526,enter,TABLE
2352,quit,TABLE
2482,enter,SCREEN
2739,grasp,BLOCK
3158,quit,SCREEN
3294,enter,TABLE
5178,release,BLOCK
5238,quit,TABLE
