key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:01:47
Frame Index Range:,0 - 1689
Relative Time Range,00:00.000 - 01:07.945
Absolute Time Range,83650.53995399999 - 83718.48547
