key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,17.01.2024
Export Time,12:02:30
Frame Index Range:,0 - 1087
Relative Time Range,00:00.000 - 00:57.228
Absolute Time Range,425350.9262 - 425408.155105
