pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-818820.329884,0,1,0.0,0.0,1.0,0.0,pye3d 0.3.0 real-time,0.0,0.0,0.0,0.0,0.0,0.013520354330318618,0.1,,-1.2038140646730107,-1.1612675995988315,26.562541558577124,10.392304845413264,-1.320947236881367,-1.2653269697845249,16.17141787211063,-0.011271144750921561,-0.0100131175647355,-0.9998863429273541,0.006760177165159309,1.5808096116905874,-1.5820682753198305,144.43135376310892,105.0888926897769,322.0677166849435,322.0677166849435,0.0
-818820.329884,0,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
-818820.320345,0,1,0.0,0.0,1.0,0.0,pye3d 0.3.0 real-time,0.0,0.0,0.0,0.0,0.0,0.013520354330318618,0.1,,-1.2038140646730107,-1.1612675995988315,26.562541558577124,10.392304845413264,-1.320947236881367,-1.2653269697845249,16.17141787211063,-0.011271144750921561,-0.0100131175647355,-0.9998863429273541,0.006760177165159309,1.5808096116905874,-1.5820682753198305,144.43135376310892,105.0888926897769,322.0677166849435,322.0677166849435,0.0
-818820.320345,0,1,0.5794199295592217,0.362154483795166,0.6459058125813801,47.047786712646484,2d c++,115.88943481445312,84.98260498046875,30.017526626586914,47.047786712646484,72.1895751953125,,,,,,,,,,,,,,,,,,,,,
-818820.309432,1,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
-818820.309432,1,1,0.0,0.0,1.0,0.0,pye3d 0.3.0 real-time,0.0,0.0,0.0,0.0,0.0,0.013520354330318618,0.1,,-1.2038140646730107,-1.1612675995988315,26.562541558577124,10.392304845413264,-1.320947236881367,-1.2653269697845249,16.17141787211063,-0.011271144750921561,-0.0100131175647355,-0.9998863429273541,0.006760177165159309,1.5808096116905874,-1.5820682753198305,144.43135376310892,105.0888926897769,322.0677166849435,322.0677166849435,0.0
-818820.302872,1,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
-818820.302872,1,1,0.0,0.0,1.0,0.0,pye3d 0.3.0 real-time,0.0,0.0,0.0,0.0,0.0,0.013520354330318618,0.1,,-1.2038140646730107,-1.1612675995988315,26.562541558577124,10.392304845413264,-1.320947236881367,-1.2653269697845249,16.17141787211063,-0.011271144750921561,-0.0100131175647355,-0.9998863429273541,0.006760177165159309,1.5808096116905874,-1.5820682753198305,144.43135376310892,105.0888926897769,322.0677166849435,322.0677166849435,0.0
-818820.294072,1,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
-818820.294072,1,1,0.0,0.0,1.0,0.0,pye3d 0.3.0 real-time,0.0,0.0,0.0,0.0,0.0,0.013520354330318618,0.1,,-1.2038140646730107,-1.1612675995988315,26.562541558577124,10.392304845413264,-1.320947236881367,-1.2653269697845249,16.17141787211063,-0.011271144750921561,-0.0100131175647355,-0.9998863429273541,0.006760177165159309,1.5808096116905874,-1.5820682753198305,144.43135376310892,105.0888926897769,322.0677166849435,322.0677166849435,0.0
