key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.01.2024
Export Time,16:08:36
Frame Index Range:,0 - 1123
Relative Time Range,00:00.000 - 00:44.054
Absolute Time Range,-818820.3390769999 - -818776.2847379999
