key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,23.01.2024
Export Time,12:08:17
Frame Index Range:,0 - 1228
Relative Time Range,00:00.000 - 00:46.971
Absolute Time Range,416323.396739 - 416370.36818499997
