id,block,x0,y0,x1,y1,x2,y2,x3,y3,level
0,8,24,9,25,9,25,10,24,10,0
1,7,24,9,25,9,25,10,24,10,1
2,6,24,9,25,9,25,10,24,10,2
3,18,28,9,29,9,29,10,28,10,0
4,19,28,9,29,9,29,10,28,10,1
5,20,28,9,29,9,29,10,28,10,2
6,5,24,9,27,9,27,10,24,10,3
7,2,28,9,29,9,29,10,28,10,3
