key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,10:06:47
Frame Index Range:,0 - 1545
Relative Time Range,00:00.000 - 01:16.293
Absolute Time Range,231683.196741 - 231759.490651
