key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,16:41:48
Frame Index Range:,0 - 1107
Relative Time Range,00:00.000 - 00:58.164
Absolute Time Range,84920.97332899999 - 84979.138287
