timestamp,event,device
17,enter,TABLE
151,quit,TABLE
779,enter,SCREEN
841,quit,SCREEN
842,enter,TABLE
861,quit,TABLE
862,enter,SCREEN
874,quit,SCREEN
875,enter,TABLE
878,quit,TABLE
879,enter,SCREEN
892,quit,SCREEN
893,enter,TABLE
899,quit,TABLE
900,enter,SCREEN
1264,quit,SCREEN
1265,enter,TABLE
1280,quit,TABLE
1281,enter,SCREEN
1912,quit,SCREEN
1913,enter,TABLE
1921,quit,TABLE
1922,enter,SCREEN
1928,quit,SCREEN
1929,enter,TABLE
1932,quit,TABLE
1933,enter,SCREEN
1979,quit,SCREEN
1980,enter,TABLE
1997,quit,TABLE
1998,enter,SCREEN
2012,quit,SCREEN
2013,enter,TABLE
2013,quit,TABLE
2014,enter,SCREEN
2186,quit,SCREEN
2187,enter,TABLE
2187,quit,TABLE
2188,enter,SCREEN
2414,quit,SCREEN
2528,enter,TABLE
3129,quit,TABLE
3245,enter,TABLE
3319,quit,TABLE
3364,enter,SCREEN
3502,quit,SCREEN
3503,enter,TABLE
3512,quit,TABLE
3513,enter,SCREEN
3599,grasp,BLOCK
3630,quit,SCREEN
3631,enter,TABLE
3647,quit,TABLE
3648,enter,SCREEN
3988,quit,SCREEN
3989,enter,TABLE
3989,quit,TABLE
3990,enter,SCREEN
4100,quit,SCREEN
4186,enter,TABLE
4492,quit,TABLE
5501,enter,TABLE
5740,quit,TABLE
5937,enter,TABLE
6104,quit,TABLE
6115,enter,TABLE
6180,quit,TABLE
6237,release,BLOCK
