key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,10.01.2024
Export Time,15:04:09
Frame Index Range:,0 - 1092
Relative Time Range,00:00.000 - 00:56.256
Absolute Time Range,75277.834664 - 75334.09127799999
