key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:00:49
Frame Index Range:,0 - 2450
Relative Time Range,00:00.000 - 02:09.769
Absolute Time Range,368216.678109 - 368346.447514
