timestamp,distance
2,nan
20,nan
36,nan
51,nan
68,nan
83,nan
97,nan
115,nan
132,nan
147,nan
166,nan
181,nan
198,nan
213,nan
228,nan
249,nan
260,nan
277,nan
293,nan
310,nan
328,nan
343,nan
358,nan
373,nan
394,nan
407,nan
422,nan
440,nan
456,nan
473,nan
488,nan
506,nan
529,nan
538,nan
554,nan
572,nan
586,nan
606,nan
620,nan
635,nan
652,nan
669,nan
684,nan
701,nan
717,nan
734,nan
751,nan
768,nan
783,nan
798,nan
816,nan
833,nan
847,nan
868,1.2653374308095224
879,1.5610142317295324
897,1.653033669884956
912,1.8228140856831714
929,1.9907357252680062
943,1.8730229513392351
964,1.7396546771573371
979,2.4285929721610717
993,0.5092776468533154
1010,0.6785189809638124
1028,0.8738949489071305
1046,1.179776209081062
1061,1.4880234356807436
1076,1.4214942577213407
1091,1.4273168842050388
1111,1.286841070508782
1126,1.1619043446374706
1138,1.0919448832276477
1155,1.0085876397194888
1172,-1.0123563055018552
1189,-0.9821313433537572
1204,-0.9244640529549758
1222,1.0271824304249004
1237,1.169645916160002
1252,-1.239421503057398
1270,-1.264272097135126
1285,-1.0935512928824997
1302,-1.2198941509849122
1320,-1.046621024592781
1335,-1.5961472197276376
1353,-1.9159136998345
1367,-1.5503932885345326
1385,-1.013154031563803
1400,-1.3373813582964242
1415,-1.3488430776518243
1432,1.2274082732801752
1449,1.3616520639766454
1467,1.5691075542375255
1482,1.5839375176621708
1497,-1.4593024392043015
1512,1.4774925314836302
1532,1.485570540256889
1544,1.4782212974211995
1562,1.5552788173046843
1577,1.521441248665467
1593,1.542226994765892
1611,1.6401303415864341
1629,1.4637332953611302
1644,2.383528928265537
1661,1.5150963496433267
1679,2.738576209733743
1690,-1.5562944274354211
1707,-1.6788747266040966
1725,-1.5654085394259498
1740,-1.4606230445019923
1757,1.5396314743554413
1772,1.5994630569087689
1788,1.4208170503108875
1803,nan
1823,nan
1835,nan
1853,nan
1867,nan
1885,nan
1903,39.1265831771125
1920,nan
1940,40.33174522964121
1955,nan
1972,40.34650690616434
1981,nan
1999,40.16622922056545
2017,40.630820358947965
2034,39.13242676412888
2046,nan
2061,nan
2079,nan
2094,nan
