timestamp,event,device
71,enter,SCREEN
217,quit,SCREEN
218,enter,TABLE
227,quit,TABLE
228,enter,SCREEN
384,quit,SCREEN
385,enter,TABLE
408,quit,TABLE
409,enter,SCREEN
2439,quit,SCREEN
3259,enter,TABLE
3333,quit,TABLE
3608,enter,SCREEN
5473,quit,SCREEN
5834,enter,TABLE
6339,quit,TABLE
6485,enter,SCREEN
6515,quit,SCREEN
6516,enter,TABLE
6517,quit,TABLE
6518,enter,SCREEN
6705,grasp,BLOCK
6985,quit,SCREEN
6986,enter,TABLE
7004,quit,TABLE
7005,enter,SCREEN
7034,quit,SCREEN
7035,enter,TABLE
7041,quit,TABLE
7042,enter,SCREEN
7438,quit,SCREEN
7699,enter,TABLE
7810,quit,TABLE
7879,enter,TABLE
9607,release,BLOCK
9667,quit,TABLE
