key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:18:31
Frame Index Range:,0 - 1136
Relative Time Range,00:00.000 - 00:45.326
Absolute Time Range,165330.62622 - 165375.95314
