timestamp,event,device
25,enter,SCREEN
1062,quit,SCREEN
1520,enter,TABLE
1726,quit,TABLE
1903,enter,SCREEN
2793,quit,SCREEN
2817,enter,TABLE
2930,quit,TABLE
2948,enter,TABLE
3012,quit,TABLE
3158,enter,TABLE
3364,quit,TABLE
3389,enter,SCREEN
3624,quit,SCREEN
3625,enter,TABLE
3625,quit,TABLE
3626,enter,SCREEN
3694,quit,SCREEN
3695,enter,TABLE
3708,quit,TABLE
3709,enter,SCREEN
3727,quit,SCREEN
3728,enter,TABLE
3728,quit,TABLE
3729,enter,SCREEN
3760,quit,SCREEN
3761,enter,TABLE
3768,quit,TABLE
3769,enter,SCREEN
3787,quit,SCREEN
3788,enter,TABLE
3790,quit,TABLE
3791,enter,SCREEN
3804,quit,SCREEN
3805,enter,TABLE
3813,quit,TABLE
3814,enter,SCREEN
4363,quit,SCREEN
4364,enter,TABLE
4384,quit,TABLE
4385,enter,SCREEN
4393,quit,SCREEN
4394,enter,TABLE
4401,quit,TABLE
4402,enter,SCREEN
4428,quit,SCREEN
4429,enter,TABLE
4435,quit,TABLE
4436,enter,SCREEN
5950,quit,SCREEN
6318,enter,SCREEN
7231,quit,SCREEN
7276,grasp,BLOCK
7675,enter,TABLE
9872,release,BLOCK
9932,quit,TABLE
