key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:33:52
Frame Index Range:,0 - 1003
Relative Time Range,00:00.000 - 00:52.668
Absolute Time Range,864682.888461 - 864735.556695
