key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,23.01.2024
Export Time,10:43:27
Frame Index Range:,0 - 786
Relative Time Range,00:00.000 - 00:41.193
Absolute Time Range,411703.223977 - 411744.417809
