key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:18:51
Frame Index Range:,0 - 2087
Relative Time Range,00:00.000 - 01:20.941
Absolute Time Range,-905953.359417 - -905872.417481
