key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,09:51:43
Frame Index Range:,0 - 1912
Relative Time Range,00:00.000 - 01:27.756
Absolute Time Range,367525.21561899997 - 367612.972095
