key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.01.2024
Export Time,16:07:45
Frame Index Range:,0 - 1414
Relative Time Range,00:00.000 - 00:55.158
Absolute Time Range,-819002.388219 - -818947.229573
