key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,09:38:22
Frame Index Range:,0 - 1051
Relative Time Range,00:00.000 - 00:58.146
Absolute Time Range,274003.891356 - 274062.038215
